scene_id,attack_name,suite,category,port,success,pcap_packets,pcap_bytes,tcp_syn,tcp_data,tcp_fin,tcp_rst,payload_bytes,duration_ms,cvss,cve_reference,pcap_file
102343992,Evil Twin,network,evil_twin_ap,15011,1,0,0,0,0,0,0,0,0.1,0.0,,Evil_Twin_scene102343_p15011.pcap
102343992,Traffic Fingerprinting,network,traffic_analysis,15011,0,31,1493,2,1,1,23,9,2306.4,0.0,,Traffic_Fingerprinting_scene102343_p15011.pcap
102343992,State-Update Delay Fu Type 1,phantom_delay,,15011,0,8,455,0,3,2,2,31,0.3,9.3,,State-Update_Delay_Fu_Type_1_scene102343_p15011.pcap
102343992,Erroneous Execution Fu Type 2,phantom_delay,,15011,0,0,0,0,0,0,0,0,0.1,9.3,,Erroneous_Execution_Fu_Type_2_scene102343_p15011.pcap
102343992,Action Reorder Fu Type 4,phantom_delay,,15011,0,0,0,0,0,0,0,0,0.1,9.3,,Action_Reorder_Fu_Type_4_scene102343_p15011.pcap
102344193,Buffer Overflow Cmd,firmware,buffer_overflow,15012,0,56,4576,8,12,8,0,1344,31.6,0.0,CVE-2020-12695 (UPnP buffer overflow in IoT devices),Buffer_Overflow_Cmd_scene102344_p15012.pcap
102344193,Buffer Overflow Setid,firmware,buffer_overflow,15012,0,62,3929,8,15,8,0,361,8.6,0.0,CVE-2021-28372 (ThroughTek IoT device overflow),Buffer_Overflow_Setid_scene102344_p15012.pcap
102344193,Auth Bypass No Token,firmware,authentication_bypass,15012,1,88,5249,12,20,12,0,177,10.5,0.0,CVE-2019-19356 (Netis router auth bypass),Auth_Bypass_No_Token_scene102344_p15012.pcap
102344193,Auth Bypass Empty Token,firmware,authentication_bypass,15012,1,70,4255,10,15,10,0,215,10.0,0.0,CVE-2020-25078 (D-Link DCS camera hardcoded credentials),Auth_Bypass_Empty_Token_scene102344_p15012.pcap
102344193,Info Disclosure Debug Dump,firmware,information_disclosure,15012,1,28,1725,4,6,4,0,109,4.1,0.0,CVE-2021-36260 (Hikvision debug endpoint info disclosure),Info_Disclosure_Debug_Dump_scene102344_p15012.pcap
102344193,Info Disclosure Token Leak,firmware,information_disclosure,15012,0,84,5060,10,22,10,0,236,9.6,0.0,,Info_Disclosure_Token_Leak_scene102344_p15012.pcap
102344193,Command Injection Newline,firmware,command_injection,15012,1,70,4131,10,16,9,1,103,409.3,0.0,CVE-2019-17621 (D-Link command injection),Command_Injection_Newline_scene102344_p15012.pcap
102344193,Command Injection Null Byte,firmware,command_injection,15012,0,14,838,2,3,2,0,30,3003.8,0.0,,Command_Injection_Null_Byte_scene102344_p15012.pcap
102344193,Fw Update Overflow,firmware,firmware_update_attack,15012,0,44,3051,6,10,6,0,515,14.0,0.0,CVE-2022-25845 (Firmware update vulnerability in smart devices),Fw_Update_Overflow_scene102344_p15012.pcap
