scene_id,attack_name,category,success,packets_sent,packets_captured,duration_ms
106879080_174887211,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,7.2
106879080_174887211,"Matter State Injection",matter_message_injection,0,0,0,2.9
106879080_174887211,"Matter Command Hijack",matter_command_hijack,0,0,0,2.3
106879080_174887211,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,509.2
106879080_174887211,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1128.5
106879080_174887211,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,518.4
106879080_174887211,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
106879080_174887211,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.0
106879080_174887211,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,1.6
106879080_174887211,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
106879080_174887211,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
106879080_174887211,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
106879080_174887211,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
106879080_174887211,"Traffic Fingerprinting",traffic_analysis,1,0,0,1843.2
