scene_id,attack_name,category,success,packets_sent,packets_captured,duration_ms
108736884_177263634,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,2.7
108736884_177263634,"Matter State Injection",matter_message_injection,0,0,0,3.9
108736884_177263634,"Matter Command Hijack",matter_command_hijack,0,0,0,2.3
108736884_177263634,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,516.6
108736884_177263634,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1122.4
108736884_177263634,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,518.5
108736884_177263634,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
108736884_177263634,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
108736884_177263634,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,2.0
108736884_177263634,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
108736884_177263634,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
108736884_177263634,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
108736884_177263634,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
108736884_177263634,"Traffic Fingerprinting",traffic_analysis,1,0,0,1850.3
